TrialIndex,StimType,Order,Dissimilarity,Displacement,Distortion,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate2,Ycoordinate2,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,FILLER
146,BL,0,0,0,0,0,2,,,,289.7777479,77.64571353,,,,,,,0
147,OLP,2,4,0,4,0,2,,,,-274.0636373,-122.0209929,251.6011704,-163.3917105,31.35853898,298.3565686,280.0741279,107.5103849,0
148,ERP,1,0,0,0,6,2,,,,-259.8076211,-150,-267.3019573,136.1971499,1.84E-14,300,267.3019573,136.1971499,0
149,LLP,1,1,1,0,4,2,,,,-251.6011704,-163.3917105,-267.3019573,136.1971499,-280.0741279,107.5103849,259.8076211,150,0
150,LLP,1,4,4,0,8,2,,,,-242.7050983,-176.3355757,267.3019573,-136.1971499,293.4442802,-62.37350725,251.6011704,163.3917105,0
151,OLP,1,1,0,1,4,2,,,,-233.1437884,-188.7961173,212.1320344,-212.1320344,62.37350725,-293.4442802,242.7050983,176.3355757,0
152,LLP,2,4,4,0,0,2,,,,-267.3019573,-136.1971499,274.0636373,-122.0209929,251.6011704,-163.3917105,274.0636373,122.0209929,0
153,LLP,1,2,2,0,8,2,,,,-222.9434476,-200.7391819,200.7391819,-222.9434476,-222.9434476,200.7391819,233.1437884,188.7961173,0
154,LLP,2,1,1,0,0,2,,,,-251.6011704,-163.3917105,-267.3019573,136.1971499,-280.0741279,107.5103849,259.8076211,150,0
155,ERP,2,0,0,0,0,2,,,,-259.8076211,-150,-267.3019573,136.1971499,1.84E-14,300,267.3019573,136.1971499,0
156,OLP,2,1,0,1,0,2,,,,-233.1437884,-188.7961173,212.1320344,-212.1320344,62.37350725,-293.4442802,242.7050983,176.3355757,0
157,OLP,1,4,0,4,6,2,,,,-212.1320344,-212.1320344,-296.3065022,46.93033951,300,-7.35E-14,222.9434476,200.7391819,0
158,LLP,1,4,4,0,6,2,,,,-200.7391819,-222.9434476,293.4442802,-62.37350725,1.84E-14,300,212.1320344,212.1320344,0
159,LLP,2,4,4,0,0,2,,,,-242.7050983,-176.3355757,267.3019573,-136.1971499,293.4442802,-62.37350725,251.6011704,163.3917105,0
160,ERP,1,0,0,0,6,2,,,,-188.7961173,-233.1437884,-212.1320344,212.1320344,-242.7050983,176.3355757,200.7391819,222.9434476,0
161,BL,0,0,0,0,0,2,,,,289.7777479,77.64571353,,,,,,,0
162,LLP,2,2,2,0,0,2,,,,-222.9434476,-200.7391819,200.7391819,-222.9434476,-222.9434476,200.7391819,233.1437884,188.7961173,0
163,OLP,1,4,0,4,4,2,,,,-176.3355757,-242.7050983,-136.1971499,267.3019573,-298.3565686,31.35853898,188.7961173,233.1437884,0
164,OLP,2,4,0,4,0,2,,,,-212.1320344,-212.1320344,-296.3065022,46.93033951,300,-7.35E-14,222.9434476,200.7391819,0
165,LLP,2,4,4,0,0,2,,,,-200.7391819,-222.9434476,293.4442802,-62.37350725,1.84E-14,300,212.1320344,212.1320344,0
166,LLP,1,3,3,0,6,2,,,,-163.3917105,-251.6011704,-233.1437884,188.7961173,289.7777479,-77.64571353,176.3355757,242.7050983,0
167,ERP,2,0,0,0,0,2,,,,-188.7961173,-233.1437884,-212.1320344,212.1320344,-242.7050983,176.3355757,200.7391819,222.9434476,0
168,OLP,2,4,0,4,0,2,,,,-176.3355757,-242.7050983,-136.1971499,267.3019573,-298.3565686,31.35853898,188.7961173,233.1437884,0
169,OLP,1,2,0,2,4,2,,,,-150,-259.8076211,296.3065022,46.93033951,150,-259.8076211,163.3917105,251.6011704,0
170,ERP,1,0,0,0,4,2,,,,-136.1971499,-267.3019573,-300,3.67E-14,285.3169549,-92.70509831,150,259.8076211,0
171,ERP,1,0,0,0,6,2,,,,-122.0209929,-274.0636373,-289.7777479,77.64571353,-122.0209929,274.0636373,136.1971499,267.3019573,0
172,ERP,1,0,0,0,6,2,,,,-107.5103849,-280.0741279,-299.5888604,15.70078687,267.3019573,-136.1971499,122.0209929,274.0636373,0
173,LLP,2,3,3,0,0,2,,,,-163.3917105,-251.6011704,-233.1437884,188.7961173,289.7777479,-77.64571353,176.3355757,242.7050983,0
174,OLP,2,2,0,2,0,2,,,,-150,-259.8076211,296.3065022,46.93033951,150,-259.8076211,163.3917105,251.6011704,0
175,ERP,2,0,0,0,0,2,,,,-136.1971499,-267.3019573,-300,3.67E-14,285.3169549,-92.70509831,150,259.8076211,0
176,BL,0,0,0,0,0,2,,,,289.7777479,77.64571353,,,,,,,0
177,LLP,1,2,2,0,6,2,,,,-92.70509831,-285.3169549,274.0636373,-122.0209929,259.8076211,-150,107.5103849,280.0741279,0
178,ERP,2,0,0,0,0,2,,,,-122.0209929,-274.0636373,-289.7777479,77.64571353,-122.0209929,274.0636373,136.1971499,267.3019573,0
179,ERP,2,0,0,0,0,2,,,,-107.5103849,-280.0741279,-299.5888604,15.70078687,267.3019573,-136.1971499,122.0209929,274.0636373,0
180,ERP,1,0,0,0,4,2,,,,-77.64571353,-289.7777479,212.1320344,-212.1320344,293.4442802,62.37350725,92.70509831,285.3169549,0
181,LLP,1,1,1,0,4,2,,,,-62.37350725,-293.4442802,163.3917105,-251.6011704,242.7050983,-176.3355757,77.64571353,289.7777479,0
182,LLP,1,1,1,0,4,2,,,,-46.93033951,-296.3065022,212.1320344,-212.1320344,233.1437884,-188.7961173,62.37350725,293.4442802,0
183,LLP,1,2,2,0,6,2,,,,-31.35853898,-298.3565686,-296.3065022,-46.93033951,-299.5888604,15.70078687,46.93033951,296.3065022,0
184,LLP,2,2,2,0,0,2,,,,-92.70509831,-285.3169549,274.0636373,-122.0209929,259.8076211,-150,107.5103849,280.0741279,0
185,ERP,2,0,0,0,0,2,,,,-77.64571353,-289.7777479,212.1320344,-212.1320344,293.4442802,62.37350725,92.70509831,285.3169549,0
186,LLP,2,1,1,0,0,2,,,,-62.37350725,-293.4442802,163.3917105,-251.6011704,242.7050983,-176.3355757,77.64571353,289.7777479,0
187,LLP,2,1,1,0,0,2,,,,-46.93033951,-296.3065022,212.1320344,-212.1320344,233.1437884,-188.7961173,62.37350725,293.4442802,0
188,ERP,1,0,0,0,4,2,,,,-15.70078687,-299.5888604,-259.8076211,150,-298.3565686,31.35853898,31.35853898,298.3565686,0
