,Unnamed: 0,TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
67,67,68,OLP,2,0,1,,,,-15.7007868728831,299.588860426372,163.391710504508,251.60117038362702,136.197149921864,267.30195725651004,163.391710504508,251.60117038362702,
68,68,69,OLP,2,0,1,,,,1.83697019872103e-14,300.0,150.0,259.807621135332,-200.739181907657,222.943447643218,150.0,259.807621135332,
69,69,70,LLP,1,8,1,,,,-62.3735072453277,293.444280220142,-222.943447643218,200.739181907658,122.02099292273998,274.06363729278,-222.943447643218,200.739181907658,
70,70,71,OLP,1,6,1,,,,-77.64571353075621,289.77774788672,-212.132034355964,212.132034355964,-222.943447643218,200.739181907658,-212.132034355964,212.132034355964,
71,71,72,LLP,2,0,1,,,,-46.9303395120692,296.306502178541,46.9303395120693,296.306502178541,-92.70509831248421,285.316954888546,46.9303395120693,296.306502178541,
72,72,73,ERP,2,0,1,,,,-31.358538980296,298.356568610482,150.0,259.807621135332,77.6457135307563,289.77774788672,150.0,259.807621135332,
73,73,74,OLP,1,8,1,,,,-92.70509831248421,285.316954888546,122.02099292273998,274.06363729278,122.02099292273998,274.06363729278,122.02099292273998,274.06363729278,
74,74,75,OLP,1,5,1,,,,-107.51038486359,280.074127949161,-242.705098312484,176.335575687742,15.700786872883198,299.588860426372,-242.705098312484,176.335575687742,
75,75,76,LLP,1,5,1,,,,-122.02099292273998,274.06363729278,31.358538980296107,298.356568610482,31.358538980296107,298.356568610482,31.358538980296107,298.356568610482,
76,76,77,OLP,1,2,1,,,,-136.197149921864,267.30195725651004,-15.7007868728831,299.588860426372,-285.316954888546,92.7050983124843,-15.7007868728831,299.588860426372,
77,77,78,OLP,2,0,1,,,,-77.64571353075621,289.77774788672,-212.132034355964,212.132034355964,-222.943447643218,200.739181907658,-212.132034355964,212.132034355964,
78,78,79,LLP,2,0,1,,,,-62.3735072453277,293.444280220142,-222.943447643218,200.739181907658,122.02099292273998,274.06363729278,-222.943447643218,200.739181907658,
79,79,80,OLP,2,0,1,,,,-136.197149921864,267.30195725651004,-15.7007868728831,299.588860426372,-285.316954888546,92.7050983124843,-15.7007868728831,299.588860426372,
