,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Lure1_Distance,Lure1_Index,Lure2_Distance,Lure2_Index,Foil_Distance,Foil_Index
52,-274.06363729278,122.02099292273998,-222.943447643218,200.739181907658,-222.943447643218,200.739181907658,-222.943447643218,200.739181907658,-6,46,-3,49,60,112
53,-280.07412794916,107.51038486359,-298.356568610482,-31.358538980295897,-298.356568610482,-31.358538980295897,-298.356568610482,-31.358538980295897,9,62,-13,40,62,115
54,-285.316954888546,92.7050983124843,-163.391710504508,251.60117038362702,-163.391710504508,251.60117038362702,-163.391710504508,251.60117038362702,-13,41,15,69,59,113
55,-289.77774788672,77.6457135307563,-274.06363729278,-122.02099292273998,-274.06363729278,-122.02099292273998,-274.06363729278,-122.02099292273998,13,68,6,61,60,115
56,-293.444280220142,62.3735072453279,-267.30195725651004,-136.197149921864,-267.30195725651004,-136.197149921864,-267.30195725651004,-136.197149921864,13,69,-10,46,58,114
57,-296.306502178541,46.9303395120693,-289.777747886721,-77.6457135307561,-289.777747886721,-77.6457135307561,-289.777747886721,-77.6457135307561,8,65,5,62,61,118
58,-298.356568610482,31.358538980296103,-274.06363729278,-122.02099292273998,-274.06363729278,-122.02099292273998,-274.06363729278,-122.02099292273998,10,68,-15,43,59,117
59,-299.588860426372,15.7007868728833,-259.807621135332,-150.0,-259.807621135332,-150.0,-259.807621135332,-150.0,11,70,-9,50,61,120
60,-300.0,3.67394039744206e-14,-233.143788437091,188.79611731495098,-233.143788437091,188.79611731495098,-233.143788437091,188.79611731495098,-13,47,3,63,60,120
61,-299.588860426372,-15.7007868728831,-233.143788437091,-188.79611731495098,-233.143788437091,-188.79611731495098,-233.143788437091,-188.79611731495098,12,73,-6,55,61,2
62,-298.356568610482,-31.358538980295897,-280.074127949161,-107.51038486359,-280.074127949161,-107.51038486359,-280.074127949161,-107.51038486359,5,67,15,77,59,1
63,-296.306502178541,-46.9303395120692,-267.30195725651004,136.197149921864,-267.30195725651004,136.197149921864,-267.30195725651004,136.197149921864,-12,51,-13,50,62,5
64,-293.444280220142,-62.3735072453277,-299.588860426372,-15.7007868728831,-299.588860426372,-15.7007868728831,-299.588860426372,-15.7007868728831,-3,61,12,76,60,4
65,-289.777747886721,-77.6457135307561,-222.943447643218,-200.739181907657,-222.943447643218,-200.739181907657,-222.943447643218,-200.739181907657,9,74,12,77,60,5
66,-285.316954888546,-92.70509831248421,-296.306502178541,-46.9303395120692,-296.306502178541,-46.9303395120692,-296.306502178541,-46.9303395120692,-3,63,-14,52,58,4
67,-280.074127949161,-107.51038486359,-280.07412794916,107.51038486359,-280.07412794916,107.51038486359,-280.07412794916,107.51038486359,-14,53,-14,53,59,6
68,-274.06363729278,-122.02099292273998,-136.197149921864,-267.30195725651004,-136.197149921864,-267.30195725651004,-136.197149921864,-267.30195725651004,13,81,5,73,58,6
69,-267.30195725651004,-136.197149921864,-296.306502178541,-46.9303395120692,-296.306502178541,-46.9303395120692,-296.306502178541,-46.9303395120692,-6,63,-9,60,58,7
70,-259.807621135332,-150.0,-289.777747886721,-77.6457135307561,-289.777747886721,-77.6457135307561,-289.777747886721,-77.6457135307561,-5,65,-15,55,61,11
71,-251.60117038362702,-163.391710504508,-62.3735072453279,-293.444280220142,-62.3735072453279,-293.444280220142,-62.3735072453279,-293.444280220142,15,86,-5,66,59,10
72,-242.705098312484,-176.335575687742,-299.588860426372,15.7007868728833,-299.588860426372,15.7007868728833,-299.588860426372,15.7007868728833,-13,59,-10,62,60,12
73,-233.143788437091,-188.79611731495098,-150.0,-259.807621135332,-150.0,-259.807621135332,-150.0,-259.807621135332,7,80,9,82,62,15
74,-222.943447643218,-200.739181907657,-188.79611731495098,-233.143788437091,-188.79611731495098,-233.143788437091,-188.79611731495098,-233.143788437091,3,77,-11,63,62,16
75,-212.132034355964,-212.132034355964,-62.3735072453279,-293.444280220142,-62.3735072453279,-293.444280220142,-62.3735072453279,-293.444280220142,11,86,-3,72,62,17
76,-200.739181907658,-222.943447643218,-280.074127949161,-107.51038486359,-280.074127949161,-107.51038486359,-280.074127949161,-107.51038486359,-9,67,-14,62,58,14
77,-188.79611731495098,-233.143788437091,-251.60117038362702,-163.391710504508,-251.60117038362702,-163.391710504508,-251.60117038362702,-163.391710504508,-6,71,9,86,61,18
78,-176.335575687742,-242.705098312484,-46.9303395120693,-296.306502178541,-46.9303395120693,-296.306502178541,-46.9303395120693,-296.306502178541,9,87,-13,65,60,18
79,-163.391710504508,-251.60117038362702,-222.943447643218,-200.739181907657,-222.943447643218,-200.739181907657,-222.943447643218,-200.739181907657,-5,74,-13,66,62,21
80,-150.0,-259.807621135332,-274.06363729278,-122.02099292273998,-274.06363729278,-122.02099292273998,-274.06363729278,-122.02099292273998,-12,68,4,84,58,18
81,-136.197149921864,-267.30195725651004,92.70509831248421,-285.316954888546,92.70509831248421,-285.316954888546,92.70509831248421,-285.316954888546,15,96,11,92,62,23
