TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
135,LLP,1,6,2,,,,-285.3169549,-92.70509831,-251.6011704,-163.3917105,-136.1971499,-267.3019573,293.4442802,62.37350725,0
136,ERP,2,0,2,,,,-300,3.67E-14,-267.3019573,136.1971499,-251.6011704,163.3917105,299.5888604,-15.70078687,0
137,ERP,2,0,2,,,,-296.3065022,-46.93033951,-242.7050983,176.3355757,-242.7050983,176.3355757,299.5888604,15.70078687,0
138,OLP,1,5,2,,,,-280.0741279,-107.5103849,-200.7391819,-222.9434476,-300,3.67E-14,274.0636373,122.0209929,0
139,OLP,2,0,2,,,,-289.7777479,-77.64571353,-300,3.67E-14,-259.8076211,150,285.3169549,92.70509831,0
140,ERP,1,4,2,,,,-274.0636373,-122.0209929,-285.3169549,92.70509831,-280.0741279,107.5103849,259.8076211,150,0
141,ERP,2,0,2,,,,-293.4442802,-62.37350725,-267.3019573,-136.1971499,-274.0636373,-122.0209929,298.3565686,31.35853898,0
142,LLP,2,0,2,,,,-285.3169549,-92.70509831,-251.6011704,-163.3917105,-136.1971499,-267.3019573,293.4442802,62.37350725,0
143,LLP,1,2,2,,,,-267.3019573,-136.1971499,-200.7391819,-222.9434476,-200.7391819,-222.9434476,267.3019573,136.1971499,0
144,OLP,2,0,2,,,,-280.0741279,-107.5103849,-200.7391819,-222.9434476,-300,3.67E-14,274.0636373,122.0209929,0
145,ERP,2,0,2,,,,-274.0636373,-122.0209929,-285.3169549,92.70509831,-280.0741279,107.5103849,259.8076211,150,0
146,LLP,2,0,2,,,,-267.3019573,-136.1971499,-200.7391819,-222.9434476,-200.7391819,-222.9434476,267.3019573,136.1971499,0
147,BL,0,0,2,,,,259.8076211,150,,,,,,,0
148,LLP,1,2,2,,,,-259.8076211,-150,-92.70509831,-285.3169549,-289.7777479,77.64571353,251.6011704,163.3917105,0
149,LLP,1,2,2,,,,-251.6011704,-163.3917105,-150,-259.8076211,-296.3065022,-46.93033951,267.3019573,136.1971499,0
150,ERP,1,6,2,,,,-242.7050983,-176.3355757,-136.1971499,-267.3019573,-77.64571353,-289.7777479,242.7050983,176.3355757,0
151,LLP,2,0,2,,,,-259.8076211,-150,-92.70509831,-285.3169549,-289.7777479,77.64571353,251.6011704,163.3917105,0
152,LLP,2,0,2,,,,-251.6011704,-163.3917105,-150,-259.8076211,-296.3065022,-46.93033951,267.3019573,136.1971499,0
153,LLP,1,5,2,,,,-233.1437884,-188.7961173,-299.5888604,-15.70078687,-267.3019573,-136.1971499,242.7050983,176.3355757,0
154,LLP,1,6,2,,,,-222.9434476,-200.7391819,-31.35853898,-298.3565686,-122.0209929,-274.0636373,222.9434476,200.7391819,0
155,OLP,1,8,2,,,,-212.1320344,-212.1320344,-296.3065022,-46.93033951,-296.3065022,-46.93033951,188.7961173,233.1437884,0
156,OLP,1,8,2,,,,-200.7391819,-222.9434476,-299.5888604,-15.70078687,-285.3169549,-92.70509831,200.7391819,222.9434476,0
157,ERP,2,0,2,,,,-242.7050983,-176.3355757,-136.1971499,-267.3019573,-77.64571353,-289.7777479,242.7050983,176.3355757,0
158,OLP,1,4,2,,,,-188.7961173,-233.1437884,-62.37350725,-293.4442802,-77.64571353,-289.7777479,176.3355757,242.7050983,0
159,LLP,2,0,2,,,,-233.1437884,-188.7961173,-299.5888604,-15.70078687,-267.3019573,-136.1971499,242.7050983,176.3355757,0
160,ERP,1,5,2,,,,-176.3355757,-242.7050983,31.35853898,-298.3565686,-274.0636373,-122.0209929,200.7391819,222.9434476,0
161,LLP,2,0,2,,,,-222.9434476,-200.7391819,-31.35853898,-298.3565686,-122.0209929,-274.0636373,222.9434476,200.7391819,0
162,ERP,1,4,2,,,,-163.3917105,-251.6011704,-259.8076211,-150,-251.6011704,-163.3917105,163.3917105,251.6011704,0
163,OLP,2,0,2,,,,-188.7961173,-233.1437884,-62.37350725,-293.4442802,-77.64571353,-289.7777479,176.3355757,242.7050983,0
164,OLP,2,0,2,,,,-212.1320344,-212.1320344,-296.3065022,-46.93033951,-296.3065022,-46.93033951,188.7961173,233.1437884,0
165,OLP,2,0,2,,,,-200.7391819,-222.9434476,-299.5888604,-15.70078687,-285.3169549,-92.70509831,200.7391819,222.9434476,0
166,ERP,2,0,2,,,,-176.3355757,-242.7050983,31.35853898,-298.3565686,-274.0636373,-122.0209929,200.7391819,222.9434476,0
167,ERP,2,0,2,,,,-163.3917105,-251.6011704,-259.8076211,-150,-251.6011704,-163.3917105,163.3917105,251.6011704,0
